Z (m),Wt (m/s),MC_Sniff (m/s),Sniffing Radius (m),Glide Path Length (m),Thermal Spacing Avg_dx (m),Probability
1500,0.5,0.0,94.12845897596405,40000,1000,0.055
1500,0.5,0.5,0.0,40000,1000,0.0
1500,0.5,1.0,0.0,40000,1000,0.0
1500,0.5,1.5,0.0,40000,1000,0.0
1500,0.5,2.0,0.0,40000,1000,0.0
1500,0.5,2.5,0.0,40000,1000,0.0
1500,0.5,3.0,0.0,40000,1000,0.0
1500,0.5,3.5,0.0,40000,1000,0.0
1500,0.5,4.0,0.0,40000,1000,0.0
1500,0.5,4.5,0.0,40000,1000,0.0
1500,0.5,5.0,0.0,40000,1000,0.0
1500,1.0,0.0,118.59442685798314,40000,1000,0.067
1500,1.0,0.5,94.12845897596405,40000,1000,0.048
1500,1.0,1.0,0.0,40000,1000,0.0
1500,1.0,1.5,0.0,40000,1000,0.0
1500,1.0,2.0,0.0,40000,1000,0.0
1500,1.0,2.5,0.0,40000,1000,0.0
1500,1.0,3.0,0.0,40000,1000,0.0
1500,1.0,3.5,0.0,40000,1000,0.0
1500,1.0,4.0,0.0,40000,1000,0.0
1500,1.0,4.5,0.0,40000,1000,0.0
1500,1.0,5.0,0.0,40000,1000,0.0
1500,2.0,0.0,149.41961479859086,40000,1000,0.069
1500,2.0,0.5,135.75672951178268,40000,1000,0.077
1500,2.0,1.0,118.59442685798314,40000,1000,0.062
1500,2.0,1.5,94.12845897596405,40000,1000,0.044
1500,2.0,2.0,0.0,40000,1000,0.0
1500,2.0,2.5,0.0,40000,1000,0.0
1500,2.0,3.0,0.0,40000,1000,0.0
1500,2.0,3.5,0.0,40000,1000,0.0
1500,2.0,4.0,0.0,40000,1000,0.0
1500,2.0,4.5,0.0,40000,1000,0.0
1500,2.0,5.0,0.0,40000,1000,0.0
1500,3.0,0.0,171.04276117677958,40000,1000,0.105
1500,3.0,0.5,160.95740074664278,40000,1000,0.106
1500,3.0,1.0,149.41961479859086,40000,1000,0.091
1500,3.0,1.5,135.75672951178268,40000,1000,0.083
1500,3.0,2.0,118.59442685798315,40000,1000,0.059
1500,3.0,2.5,94.12845897596405,40000,1000,0.048
1500,3.0,3.0,0.0,40000,1000,0.0
1500,3.0,3.5,0.0,40000,1000,0.0
1500,3.0,4.0,0.0,40000,1000,0.0
1500,3.0,4.5,0.0,40000,1000,0.0
1500,3.0,5.0,0.0,40000,1000,0.0
1500,4.0,0.0,188.2569179519281,40000,1000,0.118
1500,4.0,0.5,180.06126436143325,40000,1000,0.109
1500,4.0,1.0,171.04276117677955,40000,1000,0.098
1500,4.0,1.5,160.95740074664278,40000,1000,0.098
1500,4.0,2.0,149.41961479859086,40000,1000,0.085
1500,4.0,2.5,135.75672951178268,40000,1000,0.066
1500,4.0,3.0,118.59442685798312,40000,1000,0.076
1500,4.0,3.5,94.12845897596404,40000,1000,0.072
1500,4.0,4.0,0.0,40000,1000,0.0
1500,4.0,4.5,0.0,40000,1000,0.0
1500,4.0,5.0,0.0,40000,1000,0.0
1500,5.0,0.0,202.79361733706003,40000,1000,0.096
1500,5.0,0.5,195.79508480470764,40000,1000,0.133
1500,5.0,1.0,188.2569179519281,40000,1000,0.09
1500,5.0,1.5,180.06126436143325,40000,1000,0.098
1500,5.0,2.0,171.04276117677958,40000,1000,0.101
1500,5.0,2.5,160.95740074664278,40000,1000,0.095
1500,5.0,3.0,149.41961479859086,40000,1000,0.08
1500,5.0,3.5,135.75672951178268,40000,1000,0.075
1500,5.0,4.0,118.59442685798315,40000,1000,0.08
1500,5.0,4.5,94.12845897596405,40000,1000,0.062
1500,5.0,5.0,0.0,40000,1000,0.0
2000,0.5,0.0,94.12845897596405,60000,1000,0.054
2000,0.5,0.5,0.0,60000,1000,0.0
2000,0.5,1.0,0.0,60000,1000,0.0
2000,0.5,1.5,0.0,60000,1000,0.0
2000,0.5,2.0,0.0,60000,1000,0.0
2000,0.5,2.5,0.0,60000,1000,0.0
2000,0.5,3.0,0.0,60000,1000,0.0
2000,0.5,3.5,0.0,60000,1000,0.0
2000,0.5,4.0,0.0,60000,1000,0.0
2000,0.5,4.5,0.0,60000,1000,0.0
2000,0.5,5.0,0.0,60000,1000,0.0
2000,1.0,0.0,118.59442685798314,60000,1000,0.066
2000,1.0,0.5,94.12845897596405,60000,1000,0.055
2000,1.0,1.0,0.0,60000,1000,0.0
2000,1.0,1.5,0.0,60000,1000,0.0
2000,1.0,2.0,0.0,60000,1000,0.0
2000,1.0,2.5,0.0,60000,1000,0.0
2000,1.0,3.0,0.0,60000,1000,0.0
2000,1.0,3.5,0.0,60000,1000,0.0
2000,1.0,4.0,0.0,60000,1000,0.0
2000,1.0,4.5,0.0,60000,1000,0.0
2000,1.0,5.0,0.0,60000,1000,0.0
2000,2.0,0.0,149.41961479859086,60000,1000,0.081
2000,2.0,0.5,135.75672951178268,60000,1000,0.067
2000,2.0,1.0,118.59442685798314,60000,1000,0.061
2000,2.0,1.5,94.12845897596405,60000,1000,0.053
2000,2.0,2.0,0.0,60000,1000,0.0
2000,2.0,2.5,0.0,60000,1000,0.0
2000,2.0,3.0,0.0,60000,1000,0.0
2000,2.0,3.5,0.0,60000,1000,0.0
2000,2.0,4.0,0.0,60000,1000,0.0
2000,2.0,4.5,0.0,60000,1000,0.0
2000,2.0,5.0,0.0,60000,1000,0.0
2000,3.0,0.0,171.04276117677958,60000,1000,0.104
2000,3.0,0.5,160.95740074664278,60000,1000,0.09
2000,3.0,1.0,149.41961479859086,60000,1000,0.078
2000,3.0,1.5,135.75672951178268,60000,1000,0.078
2000,3.0,2.0,118.59442685798315,60000,1000,0.06
2000,3.0,2.5,94.12845897596405,60000,1000,0.051
2000,3.0,3.0,0.0,60000,1000,0.0
2000,3.0,3.5,0.0,60000,1000,0.0
2000,3.0,4.0,0.0,60000,1000,0.0
2000,3.0,4.5,0.0,60000,1000,0.0
2000,3.0,5.0,0.0,60000,1000,0.0
2000,4.0,0.0,188.2569179519281,60000,1000,0.091
2000,4.0,0.5,180.06126436143325,60000,1000,0.091
2000,4.0,1.0,171.04276117677955,60000,1000,0.109
2000,4.0,1.5,160.95740074664278,60000,1000,0.086
2000,4.0,2.0,149.41961479859086,60000,1000,0.09
2000,4.0,2.5,135.75672951178268,60000,1000,0.085
2000,4.0,3.0,118.59442685798312,60000,1000,0.074
2000,4.0,3.5,94.12845897596404,60000,1000,0.054
2000,4.0,4.0,0.0,60000,1000,0.0
2000,4.0,4.5,0.0,60000,1000,0.0
2000,4.0,5.0,0.0,60000,1000,0.0
2000,5.0,0.0,202.79361733706003,60000,1000,0.11
2000,5.0,0.5,195.79508480470764,60000,1000,0.099
2000,5.0,1.0,188.2569179519281,60000,1000,0.115
2000,5.0,1.5,180.06126436143325,60000,1000,0.117
2000,5.0,2.0,171.04276117677958,60000,1000,0.103
2000,5.0,2.5,160.95740074664278,60000,1000,0.1
2000,5.0,3.0,149.41961479859086,60000,1000,0.086
2000,5.0,3.5,135.75672951178268,60000,1000,0.083
2000,5.0,4.0,118.59442685798315,60000,1000,0.07
2000,5.0,4.5,94.12845897596405,60000,1000,0.043
2000,5.0,5.0,0.0,60000,1000,0.0
2500,0.5,0.0,94.12845897596405,80000,1000,0.058
2500,0.5,0.5,0.0,80000,1000,0.0
2500,0.5,1.0,0.0,80000,1000,0.0
2500,0.5,1.5,0.0,80000,1000,0.0
2500,0.5,2.0,0.0,80000,1000,0.0
2500,0.5,2.5,0.0,80000,1000,0.0
2500,0.5,3.0,0.0,80000,1000,0.0
2500,0.5,3.5,0.0,80000,1000,0.0
2500,0.5,4.0,0.0,80000,1000,0.0
2500,0.5,4.5,0.0,80000,1000,0.0
2500,0.5,5.0,0.0,80000,1000,0.0
2500,1.0,0.0,118.59442685798314,80000,1000,0.055
2500,1.0,0.5,94.12845897596405,80000,1000,0.055
2500,1.0,1.0,0.0,80000,1000,0.0
2500,1.0,1.5,0.0,80000,1000,0.0
2500,1.0,2.0,0.0,80000,1000,0.0
2500,1.0,2.5,0.0,80000,1000,0.0
2500,1.0,3.0,0.0,80000,1000,0.0
2500,1.0,3.5,0.0,80000,1000,0.0
2500,1.0,4.0,0.0,80000,1000,0.0
2500,1.0,4.5,0.0,80000,1000,0.0
2500,1.0,5.0,0.0,80000,1000,0.0
2500,2.0,0.0,149.41961479859086,80000,1000,0.08
2500,2.0,0.5,135.75672951178268,80000,1000,0.087
2500,2.0,1.0,118.59442685798314,80000,1000,0.057
2500,2.0,1.5,94.12845897596405,80000,1000,0.047
2500,2.0,2.0,0.0,80000,1000,0.0
2500,2.0,2.5,0.0,80000,1000,0.0
2500,2.0,3.0,0.0,80000,1000,0.0
2500,2.0,3.5,0.0,80000,1000,0.0
2500,2.0,4.0,0.0,80000,1000,0.0
2500,2.0,4.5,0.0,80000,1000,0.0
2500,2.0,5.0,0.0,80000,1000,0.0
2500,3.0,0.0,171.04276117677958,80000,1000,0.088
2500,3.0,0.5,160.95740074664278,80000,1000,0.086
2500,3.0,1.0,149.41961479859086,80000,1000,0.102
2500,3.0,1.5,135.75672951178268,80000,1000,0.066
2500,3.0,2.0,118.59442685798315,80000,1000,0.068
2500,3.0,2.5,94.12845897596405,80000,1000,0.05
2500,3.0,3.0,0.0,80000,1000,0.0
2500,3.0,3.5,0.0,80000,1000,0.0
2500,3.0,4.0,0.0,80000,1000,0.0
2500,3.0,4.5,0.0,80000,1000,0.0
2500,3.0,5.0,0.0,80000,1000,0.0
2500,4.0,0.0,188.2569179519281,80000,1000,0.119
2500,4.0,0.5,180.06126436143325,80000,1000,0.091
2500,4.0,1.0,171.04276117677955,80000,1000,0.102
2500,4.0,1.5,160.95740074664278,80000,1000,0.085
2500,4.0,2.0,149.41961479859086,80000,1000,0.092
2500,4.0,2.5,135.75672951178268,80000,1000,0.074
2500,4.0,3.0,118.59442685798312,80000,1000,0.047
2500,4.0,3.5,94.12845897596404,80000,1000,0.066
2500,4.0,4.0,0.0,80000,1000,0.0
2500,4.0,4.5,0.0,80000,1000,0.0
2500,4.0,5.0,0.0,80000,1000,0.0
2500,5.0,0.0,202.79361733706003,80000,1000,0.118
2500,5.0,0.5,195.79508480470764,80000,1000,0.109
2500,5.0,1.0,188.2569179519281,80000,1000,0.104
2500,5.0,1.5,180.06126436143325,80000,1000,0.095
2500,5.0,2.0,171.04276117677958,80000,1000,0.101
2500,5.0,2.5,160.95740074664278,80000,1000,0.093
2500,5.0,3.0,149.41961479859086,80000,1000,0.089
2500,5.0,3.5,135.75672951178268,80000,1000,0.083
2500,5.0,4.0,118.59442685798315,80000,1000,0.065
2500,5.0,4.5,94.12845897596405,80000,1000,0.06
2500,5.0,5.0,0.0,80000,1000,0.0
3000,0.5,0.0,94.12845897596405,100000,1000,0.04
3000,0.5,0.5,0.0,100000,1000,0.0
3000,0.5,1.0,0.0,100000,1000,0.0
3000,0.5,1.5,0.0,100000,1000,0.0
3000,0.5,2.0,0.0,100000,1000,0.0
3000,0.5,2.5,0.0,100000,1000,0.0
3000,0.5,3.0,0.0,100000,1000,0.0
3000,0.5,3.5,0.0,100000,1000,0.0
3000,0.5,4.0,0.0,100000,1000,0.0
3000,0.5,4.5,0.0,100000,1000,0.0
3000,0.5,5.0,0.0,100000,1000,0.0
3000,1.0,0.0,118.59442685798314,100000,1000,0.068
3000,1.0,0.5,94.12845897596405,100000,1000,0.065
3000,1.0,1.0,0.0,100000,1000,0.0
3000,1.0,1.5,0.0,100000,1000,0.0
3000,1.0,2.0,0.0,100000,1000,0.0
3000,1.0,2.5,0.0,100000,1000,0.0
3000,1.0,3.0,0.0,100000,1000,0.0
3000,1.0,3.5,0.0,100000,1000,0.0
3000,1.0,4.0,0.0,100000,1000,0.0
3000,1.0,4.5,0.0,100000,1000,0.0
3000,1.0,5.0,0.0,100000,1000,0.0
3000,2.0,0.0,149.41961479859086,100000,1000,0.069
3000,2.0,0.5,135.75672951178268,100000,1000,0.085
3000,2.0,1.0,118.59442685798314,100000,1000,0.064
3000,2.0,1.5,94.12845897596405,100000,1000,0.065
3000,2.0,2.0,0.0,100000,1000,0.0
3000,2.0,2.5,0.0,100000,1000,0.0
3000,2.0,3.0,0.0,100000,1000,0.0
3000,2.0,3.5,0.0,100000,1000,0.0
3000,2.0,4.0,0.0,100000,1000,0.0
3000,2.0,4.5,0.0,100000,1000,0.0
3000,2.0,5.0,0.0,100000,1000,0.0
3000,3.0,0.0,171.04276117677958,100000,1000,0.103
3000,3.0,0.5,160.95740074664278,100000,1000,0.079
3000,3.0,1.0,149.41961479859086,100000,1000,0.077
3000,3.0,1.5,135.75672951178268,100000,1000,0.087
3000,3.0,2.0,118.59442685798315,100000,1000,0.088
3000,3.0,2.5,94.12845897596405,100000,1000,0.057
3000,3.0,3.0,0.0,100000,1000,0.0
3000,3.0,3.5,0.0,100000,1000,0.0
3000,3.0,4.0,0.0,100000,1000,0.0
3000,3.0,4.5,0.0,100000,1000,0.0
3000,3.0,5.0,0.0,100000,1000,0.0
3000,4.0,0.0,188.2569179519281,100000,1000,0.111
3000,4.0,0.5,180.06126436143325,100000,1000,0.087
3000,4.0,1.0,171.04276117677955,100000,1000,0.091
3000,4.0,1.5,160.95740074664278,100000,1000,0.101
3000,4.0,2.0,149.41961479859086,100000,1000,0.081
3000,4.0,2.5,135.75672951178268,100000,1000,0.074
3000,4.0,3.0,118.59442685798312,100000,1000,0.054
3000,4.0,3.5,94.12845897596404,100000,1000,0.049
3000,4.0,4.0,0.0,100000,1000,0.0
3000,4.0,4.5,0.0,100000,1000,0.0
3000,4.0,5.0,0.0,100000,1000,0.0
3000,5.0,0.0,202.79361733706003,100000,1000,0.098
3000,5.0,0.5,195.79508480470764,100000,1000,0.096
3000,5.0,1.0,188.2569179519281,100000,1000,0.097
3000,5.0,1.5,180.06126436143325,100000,1000,0.102
3000,5.0,2.0,171.04276117677958,100000,1000,0.107
3000,5.0,2.5,160.95740074664278,100000,1000,0.089
3000,5.0,3.0,149.41961479859086,100000,1000,0.075
3000,5.0,3.5,135.75672951178268,100000,1000,0.069
3000,5.0,4.0,118.59442685798315,100000,1000,0.064
3000,5.0,4.5,94.12845897596405,100000,1000,0.043
3000,5.0,5.0,0.0,100000,1000,0.0
