Z (m),Wt (m/s),MC_Sniff (m/s),Sniffing Radius (m),Glide Path Length (m),Probability
1500,0.5,0.0,94.12845897596405,40000,0.57
1500,0.5,0.5,0.0,40000,0.0
1500,0.5,1.0,0.0,40000,0.0
1500,0.5,1.5,0.0,40000,0.0
1500,0.5,2.0,0.0,40000,0.0
1500,0.5,2.5,0.0,40000,0.0
1500,0.5,3.0,0.0,40000,0.0
1500,0.5,3.5,0.0,40000,0.0
1500,0.5,4.0,0.0,40000,0.0
1500,0.5,4.5,0.0,40000,0.0
1500,0.5,5.0,0.0,40000,0.0
1500,1.0,0.0,118.59442685798314,40000,0.66
1500,1.0,0.5,94.12845897596405,40000,0.53
1500,1.0,1.0,0.0,40000,0.0
1500,1.0,1.5,0.0,40000,0.0
1500,1.0,2.0,0.0,40000,0.0
1500,1.0,2.5,0.0,40000,0.0
1500,1.0,3.0,0.0,40000,0.0
1500,1.0,3.5,0.0,40000,0.0
1500,1.0,4.0,0.0,40000,0.0
1500,1.0,4.5,0.0,40000,0.0
1500,1.0,5.0,0.0,40000,0.0
1500,2.0,0.0,149.41961479859086,40000,0.72
1500,2.0,0.5,135.75672951178268,40000,0.65
1500,2.0,1.0,118.59442685798314,40000,0.72
1500,2.0,1.5,94.12845897596405,40000,0.55
1500,2.0,2.0,0.0,40000,0.0
1500,2.0,2.5,0.0,40000,0.0
1500,2.0,3.0,0.0,40000,0.0
1500,2.0,3.5,0.0,40000,0.0
1500,2.0,4.0,0.0,40000,0.0
1500,2.0,4.5,0.0,40000,0.0
1500,2.0,5.0,0.0,40000,0.0
1500,3.0,0.0,171.04276117677958,40000,0.71
1500,3.0,0.5,160.95740074664278,40000,0.71
1500,3.0,1.0,149.41961479859086,40000,0.58
1500,3.0,1.5,135.75672951178268,40000,0.71
1500,3.0,2.0,118.59442685798315,40000,0.62
1500,3.0,2.5,94.12845897596405,40000,0.51
1500,3.0,3.0,0.0,40000,0.0
1500,3.0,3.5,0.0,40000,0.0
1500,3.0,4.0,0.0,40000,0.0
1500,3.0,4.5,0.0,40000,0.0
1500,3.0,5.0,0.0,40000,0.0
1500,4.0,0.0,188.2569179519281,40000,0.73
1500,4.0,0.5,180.06126436143325,40000,0.77
1500,4.0,1.0,171.04276117677955,40000,0.79
1500,4.0,1.5,160.95740074664278,40000,0.71
1500,4.0,2.0,149.41961479859086,40000,0.6
1500,4.0,2.5,135.75672951178268,40000,0.56
1500,4.0,3.0,118.59442685798312,40000,0.58
1500,4.0,3.5,94.12845897596404,40000,0.54
1500,4.0,4.0,0.0,40000,0.0
1500,4.0,4.5,0.0,40000,0.0
1500,4.0,5.0,0.0,40000,0.0
1500,5.0,0.0,202.79361733706003,40000,0.92
1500,5.0,0.5,195.79508480470764,40000,0.74
1500,5.0,1.0,188.2569179519281,40000,0.76
1500,5.0,1.5,180.06126436143325,40000,0.83
1500,5.0,2.0,171.04276117677958,40000,0.72
1500,5.0,2.5,160.95740074664278,40000,0.72
1500,5.0,3.0,149.41961479859086,40000,0.64
1500,5.0,3.5,135.75672951178268,40000,0.63
1500,5.0,4.0,118.59442685798315,40000,0.55
1500,5.0,4.5,94.12845897596405,40000,0.48
1500,5.0,5.0,0.0,40000,0.0
2000,0.5,0.0,94.12845897596405,60000,0.49
2000,0.5,0.5,0.0,60000,0.0
2000,0.5,1.0,0.0,60000,0.0
2000,0.5,1.5,0.0,60000,0.0
2000,0.5,2.0,0.0,60000,0.0
2000,0.5,2.5,0.0,60000,0.0
2000,0.5,3.0,0.0,60000,0.0
2000,0.5,3.5,0.0,60000,0.0
2000,0.5,4.0,0.0,60000,0.0
2000,0.5,4.5,0.0,60000,0.0
2000,0.5,5.0,0.0,60000,0.0
2000,1.0,0.0,118.59442685798314,60000,0.55
2000,1.0,0.5,94.12845897596405,60000,0.58
2000,1.0,1.0,0.0,60000,0.0
2000,1.0,1.5,0.0,60000,0.0
2000,1.0,2.0,0.0,60000,0.0
2000,1.0,2.5,0.0,60000,0.0
2000,1.0,3.0,0.0,60000,0.0
2000,1.0,3.5,0.0,60000,0.0
2000,1.0,4.0,0.0,60000,0.0
2000,1.0,4.5,0.0,60000,0.0
2000,1.0,5.0,0.0,60000,0.0
2000,2.0,0.0,149.41961479859086,60000,0.59
2000,2.0,0.5,135.75672951178268,60000,0.65
2000,2.0,1.0,118.59442685798314,60000,0.65
2000,2.0,1.5,94.12845897596405,60000,0.48
2000,2.0,2.0,0.0,60000,0.0
2000,2.0,2.5,0.0,60000,0.0
2000,2.0,3.0,0.0,60000,0.0
2000,2.0,3.5,0.0,60000,0.0
2000,2.0,4.0,0.0,60000,0.0
2000,2.0,4.5,0.0,60000,0.0
2000,2.0,5.0,0.0,60000,0.0
2000,3.0,0.0,171.04276117677958,60000,0.74
2000,3.0,0.5,160.95740074664278,60000,0.7
2000,3.0,1.0,149.41961479859086,60000,0.62
2000,3.0,1.5,135.75672951178268,60000,0.58
2000,3.0,2.0,118.59442685798315,60000,0.58
2000,3.0,2.5,94.12845897596405,60000,0.35
2000,3.0,3.0,0.0,60000,0.0
2000,3.0,3.5,0.0,60000,0.0
2000,3.0,4.0,0.0,60000,0.0
2000,3.0,4.5,0.0,60000,0.0
2000,3.0,5.0,0.0,60000,0.0
2000,4.0,0.0,188.2569179519281,60000,0.72
2000,4.0,0.5,180.06126436143325,60000,0.65
2000,4.0,1.0,171.04276117677955,60000,0.59
2000,4.0,1.5,160.95740074664278,60000,0.6
2000,4.0,2.0,149.41961479859086,60000,0.62
2000,4.0,2.5,135.75672951178268,60000,0.64
2000,4.0,3.0,118.59442685798312,60000,0.54
2000,4.0,3.5,94.12845897596404,60000,0.49
2000,4.0,4.0,0.0,60000,0.0
2000,4.0,4.5,0.0,60000,0.0
2000,4.0,5.0,0.0,60000,0.0
2000,5.0,0.0,202.79361733706003,60000,0.75
2000,5.0,0.5,195.79508480470764,60000,0.73
2000,5.0,1.0,188.2569179519281,60000,0.74
2000,5.0,1.5,180.06126436143325,60000,0.6
2000,5.0,2.0,171.04276117677958,60000,0.76
2000,5.0,2.5,160.95740074664278,60000,0.61
2000,5.0,3.0,149.41961479859086,60000,0.7
2000,5.0,3.5,135.75672951178268,60000,0.6
2000,5.0,4.0,118.59442685798315,60000,0.55
2000,5.0,4.5,94.12845897596405,60000,0.47
2000,5.0,5.0,0.0,60000,0.0
2500,0.5,0.0,94.12845897596405,80000,0.49
2500,0.5,0.5,0.0,80000,0.0
2500,0.5,1.0,0.0,80000,0.0
2500,0.5,1.5,0.0,80000,0.0
2500,0.5,2.0,0.0,80000,0.0
2500,0.5,2.5,0.0,80000,0.0
2500,0.5,3.0,0.0,80000,0.0
2500,0.5,3.5,0.0,80000,0.0
2500,0.5,4.0,0.0,80000,0.0
2500,0.5,4.5,0.0,80000,0.0
2500,0.5,5.0,0.0,80000,0.0
2500,1.0,0.0,118.59442685798314,80000,0.53
2500,1.0,0.5,94.12845897596405,80000,0.42
2500,1.0,1.0,0.0,80000,0.0
2500,1.0,1.5,0.0,80000,0.0
2500,1.0,2.0,0.0,80000,0.0
2500,1.0,2.5,0.0,80000,0.0
2500,1.0,3.0,0.0,80000,0.0
2500,1.0,3.5,0.0,80000,0.0
2500,1.0,4.0,0.0,80000,0.0
2500,1.0,4.5,0.0,80000,0.0
2500,1.0,5.0,0.0,80000,0.0
2500,2.0,0.0,149.41961479859086,80000,0.59
2500,2.0,0.5,135.75672951178268,80000,0.52
2500,2.0,1.0,118.59442685798314,80000,0.45
2500,2.0,1.5,94.12845897596405,80000,0.38
2500,2.0,2.0,0.0,80000,0.0
2500,2.0,2.5,0.0,80000,0.0
2500,2.0,3.0,0.0,80000,0.0
2500,2.0,3.5,0.0,80000,0.0
2500,2.0,4.0,0.0,80000,0.0
2500,2.0,4.5,0.0,80000,0.0
2500,2.0,5.0,0.0,80000,0.0
2500,3.0,0.0,171.04276117677958,80000,0.59
2500,3.0,0.5,160.95740074664278,80000,0.6
2500,3.0,1.0,149.41961479859086,80000,0.57
2500,3.0,1.5,135.75672951178268,80000,0.52
2500,3.0,2.0,118.59442685798315,80000,0.49
2500,3.0,2.5,94.12845897596405,80000,0.43
2500,3.0,3.0,0.0,80000,0.0
2500,3.0,3.5,0.0,80000,0.0
2500,3.0,4.0,0.0,80000,0.0
2500,3.0,4.5,0.0,80000,0.0
2500,3.0,5.0,0.0,80000,0.0
2500,4.0,0.0,188.2569179519281,80000,0.65
2500,4.0,0.5,180.06126436143325,80000,0.61
2500,4.0,1.0,171.04276117677955,80000,0.69
2500,4.0,1.5,160.95740074664278,80000,0.62
2500,4.0,2.0,149.41961479859086,80000,0.57
2500,4.0,2.5,135.75672951178268,80000,0.64
2500,4.0,3.0,118.59442685798312,80000,0.47
2500,4.0,3.5,94.12845897596404,80000,0.4
2500,4.0,4.0,0.0,80000,0.0
2500,4.0,4.5,0.0,80000,0.0
2500,4.0,5.0,0.0,80000,0.0
2500,5.0,0.0,202.79361733706003,80000,0.73
2500,5.0,0.5,195.79508480470764,80000,0.64
2500,5.0,1.0,188.2569179519281,80000,0.71
2500,5.0,1.5,180.06126436143325,80000,0.61
2500,5.0,2.0,171.04276117677958,80000,0.56
2500,5.0,2.5,160.95740074664278,80000,0.57
2500,5.0,3.0,149.41961479859086,80000,0.62
2500,5.0,3.5,135.75672951178268,80000,0.59
2500,5.0,4.0,118.59442685798315,80000,0.53
2500,5.0,4.5,94.12845897596405,80000,0.4
2500,5.0,5.0,0.0,80000,0.0
3000,0.5,0.0,94.12845897596405,100000,0.37
3000,0.5,0.5,0.0,100000,0.0
3000,0.5,1.0,0.0,100000,0.0
3000,0.5,1.5,0.0,100000,0.0
3000,0.5,2.0,0.0,100000,0.0
3000,0.5,2.5,0.0,100000,0.0
3000,0.5,3.0,0.0,100000,0.0
3000,0.5,3.5,0.0,100000,0.0
3000,0.5,4.0,0.0,100000,0.0
3000,0.5,4.5,0.0,100000,0.0
3000,0.5,5.0,0.0,100000,0.0
3000,1.0,0.0,118.59442685798314,100000,0.39
3000,1.0,0.5,94.12845897596405,100000,0.5
3000,1.0,1.0,0.0,100000,0.0
3000,1.0,1.5,0.0,100000,0.0
3000,1.0,2.0,0.0,100000,0.0
3000,1.0,2.5,0.0,100000,0.0
3000,1.0,3.0,0.0,100000,0.0
3000,1.0,3.5,0.0,100000,0.0
3000,1.0,4.0,0.0,100000,0.0
3000,1.0,4.5,0.0,100000,0.0
3000,1.0,5.0,0.0,100000,0.0
3000,2.0,0.0,149.41961479859086,100000,0.48
3000,2.0,0.5,135.75672951178268,100000,0.52
3000,2.0,1.0,118.59442685798314,100000,0.46
3000,2.0,1.5,94.12845897596405,100000,0.28
3000,2.0,2.0,0.0,100000,0.0
3000,2.0,2.5,0.0,100000,0.0
3000,2.0,3.0,0.0,100000,0.0
3000,2.0,3.5,0.0,100000,0.0
3000,2.0,4.0,0.0,100000,0.0
3000,2.0,4.5,0.0,100000,0.0
3000,2.0,5.0,0.0,100000,0.0
3000,3.0,0.0,171.04276117677958,100000,0.65
3000,3.0,0.5,160.95740074664278,100000,0.57
3000,3.0,1.0,149.41961479859086,100000,0.54
3000,3.0,1.5,135.75672951178268,100000,0.48
3000,3.0,2.0,118.59442685798315,100000,0.36
3000,3.0,2.5,94.12845897596405,100000,0.35
3000,3.0,3.0,0.0,100000,0.0
3000,3.0,3.5,0.0,100000,0.0
3000,3.0,4.0,0.0,100000,0.0
3000,3.0,4.5,0.0,100000,0.0
3000,3.0,5.0,0.0,100000,0.0
3000,4.0,0.0,188.2569179519281,100000,0.61
3000,4.0,0.5,180.06126436143325,100000,0.72
3000,4.0,1.0,171.04276117677955,100000,0.55
3000,4.0,1.5,160.95740074664278,100000,0.62
3000,4.0,2.0,149.41961479859086,100000,0.49
3000,4.0,2.5,135.75672951178268,100000,0.5
3000,4.0,3.0,118.59442685798312,100000,0.4
3000,4.0,3.5,94.12845897596404,100000,0.35
3000,4.0,4.0,0.0,100000,0.0
3000,4.0,4.5,0.0,100000,0.0
3000,4.0,5.0,0.0,100000,0.0
3000,5.0,0.0,202.79361733706003,100000,0.69
3000,5.0,0.5,195.79508480470764,100000,0.58
3000,5.0,1.0,188.2569179519281,100000,0.64
3000,5.0,1.5,180.06126436143325,100000,0.51
3000,5.0,2.0,171.04276117677958,100000,0.6
3000,5.0,2.5,160.95740074664278,100000,0.56
3000,5.0,3.0,149.41961479859086,100000,0.54
3000,5.0,3.5,135.75672951178268,100000,0.47
3000,5.0,4.0,118.59442685798315,100000,0.35
3000,5.0,4.5,94.12845897596405,100000,0.36
3000,5.0,5.0,0.0,100000,0.0
